Model,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2
XGBoost,0.33733251690864563,0.4326107980501726,0.9665319323539734,0.3593364357948303,0.47352649242604383,0.9591362476348877
Gradient Boosting,0.36043683635591306,0.4653587091329568,0.9612731937191845,0.37061059693905923,0.486296421182035,0.9569025432212651
Random Forest,0.4395424825549622,0.5713076651680968,0.941631827896722,0.5297026150470029,0.7256904607550945,0.9040262809272366
SVR (échantillon),0.5037377545533446,0.7659585955406187,0.8951635645057192,0.605660346426815,0.8729533593184787,0.8611226000705586
Decision Tree,0.698697348225755,0.9082419223370268,0.8524840165263928,0.7406323788171293,0.9872250138034009,0.822384117751775
KNN Regressor,8.218383872705404e-08,2.3099729947471558e-07,0.9999999999999905,0.7568602317841021,1.124287022591079,0.7696416859673008
Lasso Regression,0.8776954545587511,1.156217501023296,0.7609355119416528,0.8666547922122052,1.1340865489369636,0.7656084803482399
ElasticNet,0.8770650244869336,1.1558723384597052,0.7610782252197861,0.8660189341894389,1.1341235429327265,0.7655931883578382
Ridge Regression,0.8769623422183176,1.1555892818156386,0.7611952279594472,0.8664045438025157,1.1348379421599213,0.7652977835251555
Régression Linéaire,0.8769628899620507,1.1555892815606372,0.7611952280648402,0.8664055190982807,1.1348385067540971,0.7652975499913045
